Title,"Huang, L. et al. Blood single cell immune profiling reveals the interferon-MAPK pathway mediated adaptive immune response for COVID-19"
Data type,AIRR
Source type,Publication
Sharing statement,https://www.medrxiv.org/node/73721.external-links.html
BioProject Accession,Pending
State,Expected to be available
Paper DOI,https://doi.org/10.1101/2020.03.15.20033472
