,5
Data public status,:question: Pending
Article title,Single cell immune profiling reveals the interferon-MAPK pathway mediated adaptive immune response for COVID-19
Data type,AIRR
Database,Pending
Article abstract,
Paper DOI,https://doi.org/10.1101/2020.03.15.20033472
Source type,Publication
Sharing statement,https://www.medrxiv.org/node/73721.external-links.html
